id,name,category,sub_category,originalPrice,discountedPrice,images,tags,description
1,Royal Banarasi Silk Saree,Saree,Banarasi,1899.99,172,https://example.com/saree1_1.jpg|https://example.com/saree1_2.jpg|https://example.com/saree1_3.jpg,Silk|Handwoven|Traditional|Partywear|Ethnic,Exquisite hand-woven silk featuring intricate gold zari work. Perfect for weddings and grand festive occasions. A masterpiece of traditional craftsmanship from Varanasi.
2,Heritage Kanchipuram Silk,Saree,Kanchipuram,1199.99,138,https://example.com/saree2_1.jpg|https://example.com/saree2_2.jpg|https://example.com/saree2_3.jpg,Kanchipuram|Bridal|PureSilk|SouthIndian|Temple,Authentic mulberry silk Saree with a contrasting temple border. Designed for bridal elegance and formal ceremonies. Handcrafted with precision in Tamil Nadu.
3,Classic Paithani Peacock,Saree,Paithani,2399.99,146,https://example.com/saree3_1.jpg|https://example.com/saree3_2.jpg|https://example.com/saree3_3.jpg,Paithani|Handloom|PeacockMotif|Festive|Maharashtra,Rich silk Saree featuring a signature peacock motif on the pallu. Ideal for cultural festivals and wedding receptions. Reflects the royal heritage of Maharashtra.
4,Elegant Chanderi Cotton Silk,Saree,Chanderi,2999.99,153,https://example.com/saree4_1.jpg|https://example.com/saree4_2.jpg|https://example.com/saree4_3.jpg,Chanderi|Lightweight|SummerWear|Formal|Sheer,A delicate blend of silk and cotton with a sheer texture and glossy finish. Suitable for formal office events or day weddings. Hand-spun beauty from Madhya Pradesh.
5,Vibrant Bandhani Tie-Dye,Saree,Bandhani,2299.99,141,https://example.com/saree5_1.jpg|https://example.com/saree5_2.jpg|https://example.com/saree5_3.jpg,Bandhani|TieDye|Gujarat|Colorful|Ethnic,Intricate hand-knotted tie-dye patterns on high-quality georgette fabric. A vibrant choice for Mehendi ceremonies and casual festivities. Traditional artistry from Gujarat.
6,Artistic Kalamkari Hand-Painted,Saree,Kalamkari,1299.99,158,https://example.com/saree6_1.jpg|https://example.com/saree6_2.jpg|https://example.com/saree6_3.jpg,Kalamkari|HandPainted|NaturalDye|Artistic|Cotton,Features stunning mythological storytelling through organic hand-painted dyes. Best suited for art events and casual gatherings. Crafted by skilled artisans in Andhra Pradesh.
7,Intricate Patola Silk,Saree,Patola,2699.99,190,https://example.com/saree7_1.jpg|https://example.com/saree7_2.jpg|https://example.com/saree7_3.jpg,Patola|DoubleIkat|Luxury|Heritage|Silk,A rare double-ikat silk Saree with symmetrical geometric patterns. Reserved for high-end weddings and heirloom collections. A symbol of Gujarati luxury and skill.
8,Pure Kasavu Gold Border,Saree,Kasavu,1199.99,148,https://example.com/saree8_1.jpg|https://example.com/saree8_2.jpg|https://example.com/saree8_3.jpg,Kasavu|Kerala|GoldZari|Minimalist|Festive,Traditional cream cotton Saree with a rich real-gold zari border. Perfect for Onam celebrations and minimalist wedding looks. Timeless elegance from the coast of Kerala.
9,Classic Bengal Tant Cotton,Saree,Tant,1499.99,191,https://example.com/saree9_1.jpg|https://example.com/saree9_2.jpg|https://example.com/saree9_3.jpg,Tant|Cotton|Summer|DailyWear|Bengal,Lightweight and breathable cotton weave with thick decorative borders. Ideal for hot climates and daily casual wear. A staple of Bengali craftsmanship.
10,Kota Doria Block Print_1,Saree,Kota Doria,2499.99,153,https://example.com/saree10_1.jpg|https://example.com/saree10_2.jpg|https://example.com/saree10_3.jpg,KotaDoria|Rajasthan|Airy|Casual|Print,Features a unique square-check weave known as Khats. This airy fabric is perfect for summer garden parties and formal luncheons. Hand-blocked in Rajasthan.
11,Sambalpuri Ikat Silk,Saree,Sambalpuri,1899.99,176,https://example.com/saree11_1.jpg|https://example.com/saree11_2.jpg|https://example.com/saree11_3.jpg,Sambalpuri|Ikat|Odisha|Handloom|Silk,Tie-dyed threads woven into traditional motifs like shells and wheels. Great for formal heritage events and cultural festivals. Expertly crafted in Odisha.
12,Golden Muga Silk,Saree,Muga Silk,2799.99,171,https://example.com/saree12_1.jpg|https://example.com/saree12_2.jpg|https://example.com/saree12_3.jpg,MugaSilk|Assam|GoldenSilk|Luxury|Durable,Natural golden-tinted silk known for its extreme durability and luster. A prestigious choice for weddings and family heirlooms. Authentic handloom from Assam.
13,Pochampally Ikat Weave,Saree,Pochampally,999.99,141,https://example.com/saree13_1.jpg|https://example.com/saree13_2.jpg|https://example.com/saree13_3.jpg,Pochampally|Ikat|Geometric|Modern|Telangana,Features bold geometric patterns in vibrant colors using the ikat technique. Suitable for cocktail parties and formal gatherings. Hailing from the Bhoodan region of Telangana.
14,Lustrous Mysore Silk_1,Saree,Mysore Silk,1199.99,168,https://example.com/saree14_1.jpg|https://example.com/saree14_2.jpg|https://example.com/saree14_3.jpg,MysoreSilk|SoftSilk|Minimal|Royal|Karnataka,"Soft, buttery silk with minimalist gold borders for a sophisticated look. Ideal for corporate events and intimate weddings. Produced with heritage techniques in Karnataka."
15,Bhagalpuri Tussar Silk,Saree,Bhagalpuri,2199.99,137,https://example.com/saree15_1.jpg|https://example.com/saree15_2.jpg|https://example.com/saree15_3.jpg,TussarSilk|Earthy|Bhagalpur|OfficeWear|Formal,Natural textured silk in earthy tones with subtle embroidery. A professional yet elegant choice for office wear and seminars. Known as 'Wild Silk' from Bihar.
16,Floral Jamdani Weave,Saree,Jamdani,1399.99,179,https://example.com/saree16_1.jpg|https://example.com/saree16_2.jpg|https://example.com/saree16_3.jpg,Jamdani|Muslin|Floral|Artisan|Handwoven,Fine muslin Saree with floral motifs woven directly into the fabric. Perfect for high-end parties and summer weddings. A legendary weave from the Bengal region.
17,Indigo Ajrakh Print,Saree,Ajrakh,2299.99,190,https://example.com/saree17_1.jpg|https://example.com/saree17_2.jpg|https://example.com/saree17_3.jpg,Ajrakh|Indigo|BlockPrint|Boho|Natural,Double-sided block printing using natural vegetable dyes like indigo and madder. Excellent for casual bohemian styling and daytime events. Traditional Kutch craftsmanship.
18,Gadwal Zari Silk,Saree,Gadwal,799.99,125,https://example.com/saree18_1.jpg|https://example.com/saree18_2.jpg|https://example.com/saree18_3.jpg,Gadwal|Zari|Festive|Traditional|SilkCotton,"A unique silk-cotton blend body with a pure silk zari border. Lightweight yet regal, making it perfect for long wedding ceremonies. Hand-woven in Telangana."
19,Narrative Baluchari Silk,Saree,Baluchari,1199.99,138,https://example.com/saree19_1.jpg|https://example.com/saree19_2.jpg|https://example.com/saree19_3.jpg,Baluchari|Storytelling|Silk|Royal|Bengal,Decorated with woven scenes from ancient epics on the pallu. A conversational piece for cultural events and grand receptions. Originates from Bishnupur.
20,Konrad Temple Saree,Saree,Konrad,1099.99,160,https://example.com/saree20_1.jpg|https://example.com/saree20_2.jpg|https://example.com/saree20_3.jpg,Konrad|Temple|Silk|Traditional|TamilNadu,"Also known as 'Mubbhagam', this Saree features wide borders and religious motifs. Traditionally worn for temple visits and weddings. High-quality South Indian silk."
21,Royal Banarasi Red Bridal,Saree,Banarasi,1799.99,150,https://example.com/saree21_1.jpg|https://example.com/saree21_2.jpg|https://example.com/saree21_3.jpg,Banarasi|Bridal|Wedding|RedSilk|Zari,A heavy crimson silk Saree with intricate floral 'Jal' work. Designed specifically for North Indian brides. Represents centuries of weaving excellence.
22,Kanchipuram Brocade Gold,Saree,Kanchipuram,1299.99,131,https://example.com/saree22_1.jpg|https://example.com/saree22_2.jpg|https://example.com/saree22_3.jpg,Kanchipuram|Brocade|Gold|Luxe|Wedding,Full gold brocade work on pure heavy silk. A premium statement piece for luxury weddings and gala events. Handcrafted in the temple town of Kanchipuram.
23,Paithani Munia Motif,Saree,Paithani,1799.99,166,https://example.com/saree23_1.jpg|https://example.com/saree23_2.jpg|https://example.com/saree23_3.jpg,Paithani|Munia|Festive|Handloom|Marathi,Traditional silk Saree featuring the 'Munia' (parrot) border pattern. Perfect for festive family gatherings and religious poojas. Hand-woven silk with metallic threads.
24,Midnight Chanderi Silk,Saree,Chanderi,1299.99,152,https://example.com/saree24_1.jpg|https://example.com/saree24_2.jpg|https://example.com/saree24_3.jpg,Chanderi|Evening|Elegant|Silk|Formal,Dark-toned silk-cotton blend with subtle gold 'butis' scattered across. Suitable for evening dinner parties and formal receptions. Known for its airy drape.
25,Bandhani Gaji Silk_1,Saree,Bandhani,999.99,158,https://example.com/saree25_1.jpg|https://example.com/saree25_2.jpg|https://example.com/saree25_3.jpg,GajiSilk|Bandhani|Traditional|Sangeet|Gujarat,Thick Gaji silk with intricate hand-tied bandhej patterns. A luxurious choice for Sangeet ceremonies and winter weddings. Traditional Kutch artistry.
26,Kalamkari Floral Crepe,Saree,Kalamkari,1899.99,152,https://example.com/saree26_1.jpg|https://example.com/saree26_2.jpg|https://example.com/saree26_3.jpg,Kalamkari|Crepe|Modern|Floral|Casual,Modern crepe Saree featuring traditional hand-printed floral vines. Great for brunches and semi-formal daytime events. Merges ancient art with contemporary fabric.
27,Patola Print Fusion,Saree,Patola,1999.99,166,https://example.com/saree27_1.jpg|https://example.com/saree27_2.jpg|https://example.com/saree27_3.jpg,Patola|Silk|Fusion|Partywear|Ethnic,A high-quality silk Saree inspired by the complex patterns of Patola weaving. Ideal for party wear and festive social gatherings. Affordable luxury with heritage vibes.
28,Kasavu Contemporary Gold,Saree,Kasavu,1099.99,166,https://example.com/saree28_1.jpg|https://example.com/saree28_2.jpg|https://example.com/saree28_3.jpg,Kasavu|Kerala|Contemporary|Cotton|Ethnic,Cotton Saree with a mix of traditional gold borders and modern motifs. Perfect for Vishu festivals and destination weddings. Breathable and elegant.
29,Hand-Woven Tant Jamdani,Saree,Tant,3199.99,193,https://example.com/saree29_1.jpg|https://example.com/saree29_2.jpg|https://example.com/saree29_3.jpg,Tant|Jamdani|Bengal|White|Traditional,A white and red cotton Tant Saree with subtle Jamdani work on the borders. Designed for Durga Puja and traditional rituals. Authentic Bengal handloom.
30,Kota Doria Zari Border_1,Saree,Kota Doria,1799.99,181,https://example.com/saree30_1.jpg|https://example.com/saree30_2.jpg|https://example.com/saree30_3.jpg,KotaDoria|Zari|Elegant|Summer|Rajasthan,Fine Kota Doria fabric with a narrow gold zari border. Perfect for summer weddings and elegant daytime functions. Exceptional craftsmanship from Rajasthan.
31,Emerald Anarkali Gown,Kurti,Anarkali,1599.99,196,https://example.com/kurti31_1.jpg|https://example.com/kurti31_2.jpg|https://example.com/kurti31_3.jpg,Anarkali|Fitted|Wedding|FloorLength|Silk,Floor-length flared kurti in raw silk with heavy embroidery. Designed for wedding receptions and grand parties. Provides a royal silhouette.
32,Classic Straight Cut Silk,Kurti,Straight Cut,1299.99,145,https://example.com/kurti32_1.jpg|https://example.com/kurti32_2.jpg|https://example.com/kurti32_3.jpg,StraightCut|Silk|OfficeWear|Formal|Chic,A sophisticated straight-line kurti with side slits and minimal thread work. Ideal for corporate office wear and formal lunches. Tailored for a crisp fit.
33,Cotton A-Line Daily,Kurti,A-Line,2299.99,184,https://example.com/kurti33_1.jpg|https://example.com/kurti33_2.jpg|https://example.com/kurti33_3.jpg,ALine|Cotton|Casual|Comfort|Print,A comfortable cotton kurti that flares from the waist. Best suited for daily casual wear and shopping trips. Features hand-blocked floral prints.
34,Angrakha Style Tunic,Kurti,Angrakha,1699.99,177,https://example.com/kurti34_1.jpg|https://example.com/kurti34_2.jpg|https://example.com/kurti34_3.jpg,Angrakha|TieUp|Ethnic|Festive|Tradition,Features a side-tie fastening with colorful tassels and gota-patti work. A festive choice for Diwali and family gatherings. Inspired by royal Rajasthani tunics.
35,Boho Kaftan Kurti,Kurti,Kaftan,2099.99,175,https://example.com/kurti35_1.jpg|https://example.com/kurti35_2.jpg|https://example.com/kurti35_3.jpg,Kaftan|Boho|Relaxed|Vacation|Georgette,Loose-fitting flowy kaftan with batwing sleeves and digital prints. Perfect for beach vacations or relaxed casual evenings. Crafted in breathable georgette.
36,Modern High-Low Tunic,Kurti,High-Low,1299.99,133,https://example.com/kurti36_1.jpg|https://example.com/kurti36_2.jpg|https://example.com/kurti36_3.jpg,HighLow|Asymmetric|Modern|CollegeWear|Trendy,Features a short front hem and a longer back hem. A trendy choice for college or casual outings with friends. Made from soft rayon fabric.
37,Denim Shirt Style Kurti,Kurti,Shirt Style,1899.99,133,https://example.com/kurti37_1.jpg|https://example.com/kurti37_2.jpg|https://example.com/kurti37_3.jpg,ShirtStyle|Denim|Casual|Fusion|Smart,A button-down kurti with a shirt collar and pockets. Great for smart-casual office days and outdoor events. Combines western style with ethnic length.
38,Festive Dhoti Style,Kurti,Dhoti Style,1099.99,143,https://example.com/kurti38_1.jpg|https://example.com/kurti38_2.jpg|https://example.com/kurti38_3.jpg,DhotiStyle|Draped|Fusion|Partywear|Trendy,A uniquely draped kurti that mimics the dhoti silhouette at the bottom. A hit for wedding sangeets and cocktail parties. Made from fluid crepe fabric.
39,C-Cut Embroidered Kurti,Kurti,C-Cut,1299.99,130,https://example.com/kurti39_1.jpg|https://example.com/kurti39_2.jpg|https://example.com/kurti39_3.jpg,CCut|Chiffon|Partywear|Elegant|Embroidery,Features a stylish 'C' shaped front hemline with delicate thread embroidery. Perfect for semi-formal dinners and festive celebrations. Lightweight chiffon construction.
40,Heavy Flared Kurti,Kurti,Flared,1299.99,183,https://example.com/kurti40_1.jpg|https://example.com/kurti40_2.jpg|https://example.com/kurti40_3.jpg,Flared|Volume|Festive|CottonSilk|Twirl,A voluminous flared kurti that provides a gown-like appearance. Ideal for festive twirling and wedding functions. Crafted from high-quality cotton silk.
41,Front Slit Designer Kurti,Kurti,Front Slit,1299.99,195,https://example.com/kurti41_1.jpg|https://example.com/kurti41_2.jpg|https://example.com/kurti41_3.jpg,FrontSlit|Modern|Partywear|Silk|Chic,"Features a high center slit for a bold, contemporary look. Perfect for evening parties when paired with cigarette pants. Crafted from premium art silk."
42,Boho Tunic Kurti,Kurti,Tunic,1899.99,157,https://example.com/kurti42_1.jpg|https://example.com/kurti42_2.jpg|https://example.com/kurti42_3.jpg,Tunic|ShortKurti|Casual|Cotton|Embroidery,"A short, breezy tunic with delicate mirror work. Ideal for casual summer outings or college wear. Soft breathable cotton fabric ensures all-day comfort."
43,Floor Length Festive Gown,Kurti,Floor Length,1799.99,132,https://example.com/kurti43_1.jpg|https://example.com/kurti43_2.jpg|https://example.com/kurti43_3.jpg,FloorLength|Gown|Wedding|Luxury|Georgette,A majestic floor-sweeping kurti with heavy sequins work. Designed for receptions and high-profile wedding events. Elegant georgette drape with a satin lining.
44,Peplum Style Ethnic Top,Kurti,Peplum,1799.99,147,https://example.com/kurti44_1.jpg|https://example.com/kurti44_2.jpg|https://example.com/kurti44_3.jpg,Peplum|Fusion|Short|Festive|Trendy,Short flared peplum kurti with traditional ikat prints. Best paired with dhotis or shararas for a festive fusion look. Handcrafted with fine cotton-silk blend.
45,Trail Cut Party Kurti,Kurti,Trail Cut,2699.99,136,https://example.com/kurti45_1.jpg|https://example.com/kurti45_2.jpg|https://example.com/kurti45_3.jpg,TrailCut|Partywear|Elegant|Flowy|Georgette,Features an elongated back trail for a dramatic red-carpet effect. Perfect for cocktail parties and modern celebrations. Lightweight georgette with stone embellishments.
46,Asymmetric Hem Kurti,Kurti,Asymmetric,1499.99,141,https://example.com/kurti46_1.jpg|https://example.com/kurti46_2.jpg|https://example.com/kurti46_3.jpg,Asymmetric|Modern|Casual|Rayon|Unique,"Edgy asymmetric hemline that offers a creative silhouette. Suitable for casual Fridays and creative office environments. Made from smooth, high-quality rayon."
47,Tiered Layered Kurti,Kurti,Tiered,1199.99,173,https://example.com/kurti47_1.jpg|https://example.com/kurti47_2.jpg|https://example.com/kurti47_3.jpg,Tiered|Layered|Festive|Volume|Chiffon,Beautifully layered tiers create a playful and voluminous look. Ideal for Mehendi ceremonies and festive brunches. Flowy chiffon with subtle gold foil prints.
48,Indigo Denim Kurti,Kurti,Denim Kurti,1499.99,136,https://example.com/kurti48_1.jpg|https://example.com/kurti48_2.jpg|https://example.com/kurti48_3.jpg,Denim|Casual|Rugged|DailyWear|Fusion,Soft-washed denim kurti with ethnic embroidery on the yoke. A durable and stylish choice for daily travel and casual meetups. Features a comfortable straight fit.
49,Sheer Overlay Kurti,Kurti,Overlay,1799.99,132,https://example.com/kurti49_1.jpg|https://example.com/kurti49_2.jpg|https://example.com/kurti49_3.jpg,Overlay|Sheer|Elegant|Wedding|Silk,A two-piece set featuring a solid inner and a sheer embroidered outer jacket. Designed for luxury weddings and grand events. Exquisite craftsmanship in organza silk.
50,Cold Shoulder Trendy Kurti,Kurti,Cold Shoulder,899.99,137,https://example.com/kurti50_1.jpg|https://example.com/kurti50_2.jpg|https://example.com/kurti50_3.jpg,ColdShoulder|Trendy|Partywear|Modern|Crepe,Modern shoulder cut-outs with intricate beadwork on the neckline. Great for birthday parties and evening social gatherings. High-quality crepe fabric.
51,Sambalpuri Handloom Cotton,Saree,Sambalpuri,1999.99,180,https://example.com/saree51_1.jpg|https://example.com/saree51_2.jpg|https://example.com/saree51_3.jpg,Sambalpuri|Ikat|Handloom|DailyWear|Odisha,Authentic hand-woven ikat patterns in vibrant earthy tones. Perfect for formal office wear and cultural seminars. Durable and soft Odisha cotton.
52,Assam Muga Silk Heritage,Saree,Muga Silk,1199.99,149,https://example.com/saree52_1.jpg|https://example.com/saree52_2.jpg|https://example.com/saree52_3.jpg,MugaSilk|Assam|Luxury|Golden|Wedding,The rarest natural golden silk known for its longevity and sheen. A prestigious bridal choice or family heirloom. Hand-spun and woven in the heart of Assam.
53,Pochampally Silk Ikat_1,Saree,Pochampally,1299.99,182,https://example.com/saree53_1.jpg|https://example.com/saree53_2.jpg|https://example.com/saree53_3.jpg,Pochampally|Ikat|Geometric|Partywear|Silk,Features signature 'Chakra' and geometric ikat designs. Ideal for formal receptions and festive occasions. Vibrant colors woven into pure mulberry silk.
54,Mysore Crepe Silk Saree,Saree,Mysore Silk,1999.99,165,https://example.com/saree54_1.jpg|https://example.com/saree54_2.jpg|https://example.com/saree54_3.jpg,MysoreSilk|Soft|GoldZari|Traditional|Karnataka,Lightweight crepe silk with a high-quality solid gold zari border. Perfect for weddings and religious ceremonies. Known for its graceful drape and luster.
55,Bhagalpuri Tussar Print_1,Saree,Bhagalpuri,999.99,128,https://example.com/saree55_1.jpg|https://example.com/saree55_2.jpg|https://example.com/saree55_3.jpg,Bhagalpuri|Tussar|Casual|Earthy|Natural,Matte-finish silk with traditional block prints in natural dyes. A sophisticated choice for professional settings and daytime functions. Organic Tussar silk.
56,Hand-Woven Dhakai Jamdani,Saree,Jamdani,1099.99,143,https://example.com/saree56_1.jpg|https://example.com/saree56_2.jpg|https://example.com/saree56_3.jpg,Jamdani|Bengal|FineMuslin|Traditional|Festive,Extremely fine muslin weave with floral motifs appearing to float on the fabric. Best for high-end traditional gatherings. Iconic Bengali craftsmanship.
57,Ajrakh Block Print Silk,Saree,Ajrakh,999.99,150,https://example.com/saree57_1.jpg|https://example.com/saree57_2.jpg|https://example.com/saree57_3.jpg,Ajrakh|NaturalDye|Silk|Boho|Heritage,Complex 16-step block printing process using geometric designs. Perfect for art connoisseurs and cultural events. Rich modal silk fabric.
58,Gadwal Cotton Silk Mix,Saree,Gadwal,1399.99,141,https://example.com/saree58_1.jpg|https://example.com/saree58_2.jpg|https://example.com/saree58_3.jpg,Gadwal|Zari|Elegant|Festive|SouthIndian,Features a cotton body for comfort and a silk zari border for elegance. Suitable for long festive days and religious rituals. Traditional Telangana weave.
59,Baluchari Mythological Saree,Saree,Baluchari,799.99,125,https://example.com/saree59_1.jpg|https://example.com/saree59_2.jpg|https://example.com/saree59_3.jpg,Baluchari|Silk|Bengal|Heirloom|Traditional,Intricate weaving on the pallu depicting scenes from the Ramayana. A grand choice for weddings and prestigious ceremonies. Rich silk from West Bengal.
60,Konrad Silk Wedding Saree,Saree,Konrad,1399.99,190,https://example.com/saree60_1.jpg|https://example.com/saree60_2.jpg|https://example.com/saree60_3.jpg,Konrad|TempleSaree|Wedding|Silk|TamilNadu,Heavily weighted silk with wide borders featuring animal and nature motifs. Traditionally worn for South Indian weddings. Exquisite and durable.
61,Banarasi Tanchoi Silk,Saree,Banarasi,1799.99,144,https://example.com/saree61_1.jpg|https://example.com/saree61_2.jpg|https://example.com/saree61_3.jpg,Banarasi|Tanchoi|Silk|Soft|Wedding,A unique Banarasi weave that uses silk extra weft for a satin-like finish. Perfect for cocktail weddings and receptions. Features intricate floral patterns.
62,Kanchipuram Pattu Saree,Saree,Kanchipuram,2299.99,187,https://example.com/saree62_1.jpg|https://example.com/saree62_2.jpg|https://example.com/saree62_3.jpg,Kanchipuram|Pattu|GoldZari|Bridal|Traditional,Lustrous heavy silk with broad zari borders in traditional South Indian motifs. The ultimate choice for a classic bridal trousseau. Hand-woven in Tamil Nadu.
63,Paithani Traditional Border,Saree,Paithani,1099.99,169,https://example.com/saree63_1.jpg|https://example.com/saree63_2.jpg|https://example.com/saree63_3.jpg,Paithani|Silk|Festive|Traditional|Maharashtra,Hand-woven silk featuring a rich 'Narali' (coconut) border. Ideal for Ganesh Chaturthi and wedding rituals. Vibrant colors with fine metallic work.
64,Chanderi Floral Pota,Saree,Chanderi,999.99,140,https://example.com/saree64_1.jpg|https://example.com/saree64_2.jpg|https://example.com/saree64_3.jpg,Chanderi|Floral|Summer|DayWedding|Sheer,Features hand-woven floral 'buttas' on a sheer silk-cotton base. Elegant choice for summer garden parties and formal lunches. Lightweight and sophisticated.
65,Bandhani Georgette Party,Saree,Bandhani,2199.99,179,https://example.com/saree65_1.jpg|https://example.com/saree65_2.jpg|https://example.com/saree65_3.jpg,Bandhani|Georgette|Partywear|Colorful|TieDye,Fine georgette fabric with traditional Rajasthani bandhej dots. Suitable for festive parties and sangeet functions. Vibrant and easy to drape.
66,Kalamkari Cotton Heritage,Saree,Kalamkari,1399.99,168,https://example.com/saree66_1.jpg|https://example.com/saree66_2.jpg|https://example.com/saree66_3.jpg,Kalamkari|Cotton|NaturalDye|Artistic|Casual,Hand-printed with intricate pen-art motifs using organic vegetable dyes. Perfect for casual day outings and art festivals. Breathable and culturally rich.
67,Patola Silk Ikat Fusion,Saree,Patola,1199.99,169,https://example.com/saree67_1.jpg|https://example.com/saree67_2.jpg|https://example.com/saree67_3.jpg,Patola|Ikat|Silk|Heritage|Wedding,Double-ikat silk featuring traditional parrot and elephant motifs. A high-status garment for grand weddings and social elite events. Masterpiece from Gujarat.
68,Traditional Kerala Kasavu,Saree,Kasavu,2399.99,173,https://example.com/saree68_1.jpg|https://example.com/saree68_2.jpg|https://example.com/saree68_3.jpg,Kasavu|Kerala|Cotton|Minimal|Festive,"The quintessential white cotton Saree with a broad pure gold border. Best for Onam, Vishu, and temple visits. Symbolizes purity and elegance."
69,Bengal Tant Handloom,Saree,Tant,2999.99,153,https://example.com/saree69_1.jpg|https://example.com/saree69_2.jpg|https://example.com/saree69_3.jpg,Tant|Cotton|DailyWear|Bengal|Summer,Classic starched cotton Saree with ornate borders. Ideal for the hot humid climate and daily wear. A traditional staple from the weavers of Bengal.
70,Kota Doria Hand-Blocked,Saree,Kota Doria,1499.99,187,https://example.com/saree70_1.jpg|https://example.com/saree70_2.jpg|https://example.com/saree70_3.jpg,KotaDoria|BlockPrint|Summer|Casual|Rajasthan,Feather-light fabric with delicate hand-block printed floral patterns. Perfect for high-tea parties and casual summer events. Handcrafted in Rajasthan.
71,Anarkali Silk Embellished,Kurti,Anarkali,899.99,130,https://example.com/kurti71_1.jpg|https://example.com/kurti71_2.jpg|https://example.com/kurti71_3.jpg,Anarkali|Silk|Partywear|Royal|Embroidery,Heavy flared silk kurti with zardosi work on the neckline. A stunning choice for grand weddings and festive evenings. Provides a regal silhouette.
72,Straight Cut Chikankari,Kurti,Straight Cut,1299.99,146,https://example.com/kurti72_1.jpg|https://example.com/kurti72_2.jpg|https://example.com/kurti72_3.jpg,StraightCut|Chikankari|Handicraft|Elegant|Summer,Features intricate hand-embroidered shadow work from Lucknow. Perfect for formal office wear or elegant day events. Pure georgette fabric.
73,A-Line Printed Rayon,Kurti,A-Line,3499.99,177,https://example.com/kurti73_1.jpg|https://example.com/kurti73_2.jpg|https://example.com/kurti73_3.jpg,ALine|Rayon|Casual|DailyWear|Comfort,Easy-to-wear A-line kurti with vibrant digital prints. Ideal for daily errands and casual social gatherings. Soft and durable rayon material.
74,Angrakha Wrap Kurti,Kurti,Angrakha,1299.99,184,https://example.com/kurti74_1.jpg|https://example.com/kurti74_2.jpg|https://example.com/kurti74_3.jpg,Angrakha|Traditional|Festive|Wrap Style|Cotton,Features a traditional wrap-around style with drawstring closure and bells. Best for Navratri and ethnic festivals. Beautifully printed cotton silk.
75,Kaftan Silk Digital Print,Kurti,Kaftan,1299.99,186,https://example.com/kurti75_1.jpg|https://example.com/kurti75_2.jpg|https://example.com/kurti75_3.jpg,Kaftan|Silk|Modern|ResortWear|Luxe,Loose-fit luxurious silk kaftan with modern abstract prints. Perfect for resort wear and evening cocktail parties. Effortlessly chic and comfortable.
76,High-Low Chiffon Kurti,Kurti,High-Low,3899.99,198,https://example.com/kurti76_1.jpg|https://example.com/kurti76_2.jpg|https://example.com/kurti76_3.jpg,HighLow|Chiffon|Modern|Partywear|Trendy,Playful asymmetric hemline in a flowy chiffon fabric. A great pick for parties and semi-formal dinners. Features a light inner lining for comfort.
77,Office Shirt Style Kurti,Kurti,Shirt Style,1999.99,184,https://example.com/kurti77_1.jpg|https://example.com/kurti77_2.jpg|https://example.com/kurti77_3.jpg,ShirtStyle|Formal|OfficeWear|Cotton|Chic,A crisp cotton kurti with a collar and full-length sleeves. Designed for a professional and polished office look. Easy to pair with trousers or leggings.
78,Draped Dhoti Kurti,Kurti,Dhoti Style,1399.99,176,https://example.com/kurti78_1.jpg|https://example.com/kurti78_2.jpg|https://example.com/kurti78_3.jpg,DhotiStyle|Fusion|Partywear|Unique|Silk,Experimental draped silhouette that combines a kurti with a dhoti bottom. Perfect for sangeet functions and modern weddings. Premium art silk finish.
